,company_name,reuters_address,description,industry,leadership
10,ACE ACHIEVE INFOCOM LIMITED,https://www.reuters.com/companies/ACEAta.SI,"ACE Achieve Infocom Limited is an investment holding company. The Company operates through three segments, which include Information and Communication Technology (ICT) System Integration, Business Support Solutions and Maintenance & Servicing. The Company's ICT System Integration segment includes the sales of end products purchased from suppliers which require minimal installation works. The Company's Business Support Solutions segment is engaged in the provision of back-end business support systems, as well as infrastructure maintenance and upgrading works. The Company's Maintenance & Servicing segment includes maintenance of servers and integrated systems. The Company's wholly owned subsidiaries include Ming Win Technology Pte Ltd and Wisdom Universal Technology Ltd, which are engaged in providing other information technology and business management consultancy services.",Communications Services,"{""Zelin Deng"": ""Executive Chairman of the Board, ""Rulin Fu"": ""Chief Executive Officer"", Fan Yang"": ""Non-Executive Deputy Chairman of the Board"", ""Guangxin Liu"": ""Executive Directore"", ""Guoshuang Zhong"": ""Executive Director""}"
11,ACESIAN PARTNERS LIMITED,https://www.reuters.com/companies/ACESss.SI,"Acesian Partners Limited, formerly Linair Technologies Limited, is a Singapore-based investment holding company. The Company is engaged in the business of supply and installation of environment-control exhaust systems from its component parts. It operates through three segments: Manufacturing, Engineering services, and Distribution and services. The Manufacturing segment offers manufacturing, supplying, installing and maintaining of ethylene tetrafluoroethylene (ETFE)-coated ducts, uncoated stainless steel ducts and galvanized ducts, which are integrated with third-party equipment, such as fume-hoods, scrubbers and fans for a complete environment-control system. The Engineering services segment provides facility construction management and specialist engineering. The Distribution and services segment offers distribution of the air-flow systems and Individual Ventilated Cages. The Company's subsidiaries include Acesian Engineering (M) Sdn. Bhd. and Acesian Engineering Pte. Ltd.",Iron & Steel,"{""Gim Kiong Neo"": ""Non-Executive Lead Independent Chairman of the Board"", ""Wai Leong Choo"": ""Deputy Chief Financial Officer"", ""Kok Chye Wong"": ""Group Chief Operating Officer, Executive Director"", ""Yih Loh"": ""Managing Director, Executive Director"", ""Jun Qiu"": ""Executive Director""}"
12,ACMA LTD.,https://www.reuters.com/companies/ACMA.SI,"Acma Limited, formerly China Auto Corporation Limited, is a Singapore-based investment holding company. The Company operates through Tooling and Plastic Injection Moulding; Communications, Electronics and Equipment Distribution; Investment, and Others segments. The Tooling and Plastic Injection Moulding segment manufactures molds mainly for the automotive and electronics industries, and produces plastic injected parts for the manufacturing sector. The Communications, Electronics and Equipment Distribution segment is a supplier of tele-communications, electronics and packaged air-conditioners. It offers products and services in distribution of packaged air-conditioners, and in supply of microwave tele-communications systems and electronic/computer related products. The Investment segment relates to the investment holding activities of the Company. The Others segment consists of its non-core businesses. Its subsidiaries include Acma ICCL Pte Ltd and Spageddies Pte. Ltd., among others.",Misc. Capital Goods,"{""Sim Pin Quek"": ""Executive Chairman of the Board"", ""Kong Seng Chou"": ""Chief Financial Officer"", ""Rajen Rai"": ""Chief Operating Officer"", ""Boon Leong Thu"": ""Managing Director - Injection Moulding Operations"", ""Graham Wright"": ""Managing Director - International Sales, Toolmaking Operations""}"
13,ACROMEC LIMITED,https://www.reuters.com/companies/ACRO.SI,"ACROMEC Limited is an investment holding company. The Company is a specialist engineering services provider in the field of controlled environments. Its segments include Engineering, Procurement and Construction, and Maintenance. The Engineering, Procurement and Construction segment provides engineering, procurement and construction services, specializing in architectural, mechanical, electrical and process works within controlled environment. The Maintenance segment provides maintenance services for controlled environments and supporting infrastructure. The Company provides both corrective and preventive or routine maintenance services. It is focused on the design and construction of facilities requiring controlled environments, such as laboratories, medical and sterile facilities, and cleanrooms. The Company offers services to hospitals and medical centers, government agencies, research and development (R&D) companies and agencies, and pharmaceutical companies, among others.",Construction Services,"{""Say Chin Lim"": ""Executive Chairman of the Board, Managing Director"", ""Buck Kiang Tan"": ""Chief Financial Officer"", ""Chee Keong Chew"": ""Executive Director"", ""Kuei Lian Siau"": ""Joint Company Secretary"", ""Chia Hui Teo"": ""Joint Company Secretary""}"
14,ADDVALUE TECHNOLOGIES LTD,https://www.reuters.com/companies/AVAUbi.SI,"Addvalue Technologies Ltd is an investment holding company. The Company, together with its subsidiaries, offers digital, wireless and broadband communications technology products. The Company provides satellite-based communication terminals and solutions for a range of voice and Internet protocol (IP)-based data applications. Its segments include Europe Middle East and Africa (EMEA), North America and Asia Pacific. Its EMEA segment includes sales made to customers based in Spain, the United Kingdom, the United Arab Emirates (UAE) and other countries within the region. Its North America segment includes sales made to customers based in the United States, Canada and other countries within the region. Its Asia Pacific segment includes sales made to customers based in Singapore, Malaysia, Korea, China, Philippines, Australia, and other countries within the region. Its subsidiaries include Addvalue Communications Pte Ltd, Addvalue Innovation Pte Ltd and Addvalue Global Limited.",Communications Equipment,"{""Kum Lok Chan"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Khai Pang Tan"": ""Chief Operating and Technology Officer, Executive Director"", ""Choi Fun Chow"": ""Financial Controller"", ""E. M. L. Ekanayake"": ""Head - Hardware Engineering"", ""K. Kalaivanan"": ""Head - Software & Application Engineering""}"
15,ADVANCED HOLDINGS LTD.,https://www.reuters.com/companies/ADVAol.SI,"Advanced Holdings Ltd. is a Singapore-based company, which is engaged in investment holding. The Company operates through two segments: engineering service and manufacturing, and environmental technologies. The Company's engineering service and manufacturing segment is engaged in the design, manufacture and supply of process equipment, instrumentation systems and related products for oil, gas and petrochemical plants. Its environmental technologies segment participates in portable, waste water and industrial waste treatment to manage the environment by reducing or eliminating pollution. Its environmental technologies segment is also engaged in the design and supply of clean energy solutions, as well as technologies and products to reduce greenhouse gas emissions. The Company offers systems and products, which include ball valves, chemical dosing system, duplex reactor, fine filter skid, knock-out drum and test separator.",Oil Well Services & Equipment,"{""Siok San Teo"": ""Deputy Chief Executive Officer"", ""Ho Lam Cheng"": ""Chief Financial Officer"", ""Yong Liu"": ""Vice President - Valves Division"", ""Kar King Wong"": ""Managing Director, Executive Director"", ""Xiao Fei Yang"": ""General Manager - PRC Operations""}"
16,ADVANCED SYSTEMS AUTOMATION,https://www.reuters.com/companies/ADSA.SI,"Advanced Systems Automation Limited is a Singapore-based investment holding company. The Company is engaged in manufacturing automated equipment for the encapsulation of semiconductors. It operates in two segments: Equipment segment and Equipment Contract Manufacturing Services (ECMS) segment. The Company, through Equipment segment, is engaged in designing and manufacturing automatic molding machines and other back-ended assembly equipment. The Company, through ECMS segment, is engaged in precision engineering and fabrication assembly of parts for semiconductor and non-semiconductor industries. The Company also manufactures electromechanical components and parts for the semiconductor, healthcare and scientific industries. Its products include Solder Ball placement and Saw Singulation and Sort machines. It offers Saw Singulation Sort Handler (AS108), Automolding System E100 Series, Flip Chip Bonder AFC 8000, Solder Ball Placement SBP 9300. It also offers integrated line solutions.",Semiconductors,"{""Soon Gnee Loh"": ""Non-Executive Independent Chairman of the Board"", ""Chong Hoe Seah"": ""Chief Executive Officer, Executive Director"", ""Sunny Tan"": ""Chief Executive Officer of ASA Multiplate"", ""Choon Piew Loh"": ""Vice President, General Manager - ECMS Operations"", ""Choon Khiang Loh"": ""Vice President - Business Development of ECMS Business""}"
17,ADVANCER GLOBAL LIMITED,https://www.reuters.com/companies/ADVN.SI,"Advancer Global Limited is an integrated services provider. The Company operates through three segments: Employment Services Business, Cleaning and Stewarding Business, and Security Services Business. The Employment Services Business segment provides one-stop shop services for sourcing, employment and training of foreign domestic workers to households, as well as sourcing and employment of foreign workers to corporations and organizations. The Cleaning and Stewarding Business segment provides integrated cleaning and stewarding solutions and services to hospitals, hotels, commercial and residential properties, as well as pest control services. The Security Services Business segment is engaged in provision of manpower for security solutions and services to commercial, industrial and residential properties, as well as security escort services. The Facilities Management Businesses offer both the Cleaning and Stewarding Business, and the Security Services Business.",Business Services,"{""Teck Chai Lim"": ""Independent Non-Executive Chairman of the Board"", ""Gary Chin"": ""Chief Executive Officer, Executive Director"", ""Ying Li"": ""Chief Financial Officer"", ""Eng Tiang Ong"": ""Executive Director and Head of Cleaning and Stewarding and Security Services"", ""Mui Hiong Chin"": ""Executive Director""}"
18,ADVENTUS HOLDINGS LIMITED,https://www.reuters.com/companies/ADVEol.SI,"Adventus Holdings Limited is a Singapore-based investment holding company engaged in the manufacture of sputtering targets and provision of services for thin film solutions. The Company operates through three segments: Advanced Materials & Solutions, Commodities and Mineral Resources, and Property and Hospitality. The Advanced Materials & Solutions segment is engaged in the distribution and provision of printing equipment and printing solutions; the distribution and manufacturing of sputtering targets, and the manufacturing and trading of energy efficient equipment and apparatus, as well as the provision of related services. The Commodities and Mineral Resources segment is engaged in the trading of commodities and mineral resources. The Property and Hospitality segment is engaged in the business of property ownership, development, management and investment, and hospitality services. Its subsidiaries include Apphia Advanced Materials Pte. Ltd. and Crimson Star Development Pte. Ltd.",Constr. & Agric. Machinery,"{""Chong Seng Teh"": ""Executive Chairman of the Board"", ""Woon Soon Yau"": ""Chief Financial Officer"", ""Rui Xiang Chin"": ""Executive Director"", ""Kong Wah Liu"": ""Managing Director of Apphia Advanced Materials Pte. Ltd."", ""Lay Bee Ng"": ""Managing Director of Micro Screen Production Pte Ltd""}"
19,AEDGE GROUP LIMITED,https://www.reuters.com/companies/UTOS.SI,"UOL Group Limited (UOL) is a property company. The Company has a portfolio of development and investment properties, hotels and serviced suites in Asia, Oceania and North America. Its segments include Property development, Property investments, Hotel operations, Investments and Management services and technologies. Property development segment is engaged in development of properties for sale. Property investments is focused on leasing of commercial properties and serviced suites. Hotel operations segment is engaged in operation of owned hotels. Investments segment is engaged in investment in quoted and unquoted financial assets, at fair value through other comprehensive income (FVOCI) and available-for-sale. Management services and technologies segment includes provision of hotel management services under the Pan Pacific and PARKROYAL brands, project management and related services and the distribution of computers and related products.",Construction Services,"{""Cho Yaw Wee"": ""Non-Executive Chairman of the Board"", ""Wee Sin Liam"": ""Group Chief Executive Officer, Executive Director"", ""Ee Lim Wee"": ""Non-Executive Deputy Chairman of the Board"", ""Bing Seng Kwa"": ""Chief Financial Officer"", ""Peng Sum Choe"": ""Chief Executive Officer - Pan Pacic Hotels Group Limited""}"
20,AEI CORPORATION LTD,https://www.reuters.com/companies/AEICss.SI,"AEI Corporation Ltd. is a manufacturer, importer and exporter of aluminum extrusion sections, metal materials and other related products. The Company's segments include Electronics and precision engineering segment, which comprises precision aluminum extrusions that form components of products of the high-technology electronics and precision engineering industries, and Construction and infrastructure building segment, which comprises public infrastructure, building construction, interior fixtures (including certain office equipment), signage and advertising panels in the construction, civil engineering and infrastructure building industries. The Company manufactures products, including electronic components, clean room accessories, automation equipment and industrial machinery. Its subsidiaries include AEI Engineering Pte Ltd, which is engaged in the manufacturing of engineering components, AEI (China) Holdings Pte Ltd, which is engaged in investment holding and others.",Misc. Fabricated Products,"{""Soh Ping Lum"": ""Chief Risk Officer"", ""Quan Sun"": ""Executive Director"", ""Soon Soo Foo"": ""Joint Secretary"", ""Zhibo Li"": ""Non-Executive Non-Independent Director"", ""Cheong Kwee Teng"": ""Independent Director""}"
21,AEM HOLDINGS LTD,https://www.reuters.com/companies/AEM.SI,"AEM Holdings Limited is a Singapore-based company, which offers application specific-intelligent system test and handling solutions for semiconductor and electronics companies serving computing, fifth generation (5G) and artificial intelligence (AI) markets. Its segments include Equipment systems solutions (ESS), System Level Test & Inspection (SLT-i), Micro-Electro-Mechanical Systems (MEMS), Test and Measurement Solutions (TMS) and Others. ESS provides customized system solutions involving high speed motion and mechanical design to both volume manufacturers and technology development laboratories. SLT-i enables in testing devices in the real end-user environment, including extreme temperature range. MEMS provides test solutions for micro-electro-mechanical systems and special wafer probing needs. TMS is engaged in the research, development, and production of communications and industrial test solutions.",Semiconductors,"{""Wai San Loke"": ""Non-Executive Chairman of the Board"", ""Chandran Ramesh Nair"": ""Chief Executive Officer"", ""Sook Han Leong"": ""Chief Financial Officer, Joint Company Secretary"", ""Mark W. Yaeger"": ""President - AEM US"", ""Pascal Pierra"": ""Senior Vice President, General Manager - System Level Test and Inspection division and business""}"
22,AF GLOBAL LIMITED,https://www.reuters.com/companies/AFGLss.SI,"AF Global Limited, formerly LCD Global Investments Ltd, is a Singapore-based investment holding company. The Company is engaged in the provision of management services to its subsidiary companies. The Company's segments include property, which relates to project and property management, real estate consultancy services, investment in properties and development of properties for sale; hotel and serviced residence, which relates to ownership and operation of hotels and serviced residences, and leisure and others, which relates to ownership and operation of family entertainment centers and investment holding activities. It operates in Singapore, Thailand, Vietnam, Lao People's Democratic Republic, the People's Republic of China and the United Kingdom. Its subsidiary companies invest in properties; develop properties for sale; provide a suite of real estate consultancy services, and own and operate hotels, serviced residences and family entertainment centers.",Hotels & Motels,"{""Yue Kai Chay"": ""Chief Executive Officer"", ""Kok Seng Lum"": ""Senior Executive Director"", ""Swee Ann Lim"": ""Company Secretary"", ""Peng Kong Woo"": ""Non-Executive Lead Independent Director"", ""Periakaruppan Aravindan"": ""Non-Executive Director""}"
23,AGV GROUP LIMITED,https://www.reuters.com/companies/AGVG.SI,"AGV Group Limited, formerly AGV Group Pte Ltd, is an investment holding company. The Company is a provider of hot dip galvanizing services to the steel and iron fabrication industries in Singapore through its hot dip galvanizing plant. The Company has a diverse base of clients that provide products and services to the public construction, telecommunications, transport, petrochemical, defense, aerospace, automotive and general industrial markets. The Company's plant is located at Benoi Road in Singapore, which has a capacity to handle 5,000 tons of hot dip galvanizing each month. The Company's ongoing projects include galvanizing of structural steel-I-Beam Structures from Jurong Chemical Plant, Punggol NC1 Project and Gallery Hotel with different capacities. Its Marina One project is a mixed-use development bounded by Marina Way and Straits View. The Company's subsidiaries include AGV Holdings Pte. Ltd., Asia Galvanizing (S) Pte Ltd and AGV Galvanizing (M) Sdn. Bhd.",Investment Services,"{""Wei Kee Chua"": ""Executive Chairman of the Board"", ""Jay Ree Goh"": ""General Manager"", ""Colin Chen"": ""Administration Manager"", ""Kok Meng Lim"": ""Company Secretary"", ""Yoon Fatt Choong"": ""Non-Executive Independent Director""}"
24,AIMS APAC REIT,https://www.reuters.com/companies/AIMA.SI,"AIMS APAC REIT (the Trust) is a real estate investment trust (REIT). The Trust's principal activity is to invest in a portfolio of industrial real estate located across the Asia Pacific, including warehousing and logistics, business parks, light industries, high-tech and manufacturing activities. The Trust’s portfolio consists of 26 industrial properties, 25 of which are located throughout Singapore and 49.0% interest in one business park property, Optus Centre, which is located in Macquarie Park, New South Wales, Australia. The Trust is managed by AIMS APAC REIT Management Limited.",Real Estate Operations,"{""George Wang"": ""Non-Executive Non-Independent Chairman of the Board of the Manager"", ""Wee Lih Koh"": ""Chief Executive Officer, Executive Director of the Manager"", ""Khiam Yeong Heng"": ""Head - Development & Facility Management of the Manager"", ""Terence Lim"": ""Head - Investment & Investor Relations of the Manager"", ""Lay Gan Toh"": ""Head - Asset Management of the Manager""}"
25,AIMS PROPERTY SECURITIES FUND,https://www.reuters.com/companies/AIMS.SI,"AIMS Property Securities Fund is a diversified real estate securities fund, investing across a diverse range of unlisted and listed property trusts. The investment objective of the Fund is to provide investors with regular quarterly income and the potential for long-term capital growth. The Fund invests in unlisted property trusts/syndicates; listed wholesale direct property funds; listed property trusts (real estate investment trust); listed property-related companies, and cash and fixed interest securities. The Fund invests in a portfolio of property related securities diversified by property sectors, geographic locations and fund managers. The Fund invests in range of portfolio sectors, which include office, industrial, childcare, retail, bulky retail and healthcare. The Fund invests in range of geographic locations, which include Victoria, Queensland, New South Wales, Singapore, Australian Capital Territory and Western Australia.",Misc. Financial Services,"{""George Wang"": ""Executive Chairman of the Board, Managing Director of MacarthurCook Fund Management Limited"", ""Claud Chaaya"": ""Company Secretary"", ""John Robert Love"": ""Independent Non-Executive Director of MacarthurCook Fund Management Limited"", ""Richard Gerald Nott"": ""Non-Executive Independent Director of MacarthurCook Fund Management Limited""}"
26,ALITA RESOURCES LIMITED,https://www.reuters.com/companies/ALIT.SI,"Alita Resources Limited, formerly Alliance Mineral Assets Limited, is a mining company engaged in the business of developing and exploiting Tantalite mineral resource in Australia. It possesses the right to explore and mine Tantalum at the Bald Hill Tantalite Mine and surrounding areas. The Bald Hill Project covers an area of approximately 59,000 hectares and is located within the Eastern Goldfields Province of the Archaean Yilgarn Block, within the Shire of Coolgardie, approximately 50 kilometers east of Widgiemooltha. The Bald Hill Project consists of over four mining leases, approximately eight prospecting licenses, over eight exploration licenses, a general purpose license, a retention license and other miscellaneous licenses. Its Tantalum mineral resources comprise a total mineral resource of over 2,580,000 tons averaging approximately 350 parts per million (ppm) Tantalum pentoxide (Ta2O5). Its Tantalum is used in production of capacitors in the electronics industry.",Metal Mining,"{""Xie Wei"": ""Non-Executive Director""}"
27,ALLIANCE HEALTHCARE GROUP LTD,https://www.reuters.com/companies/ALLA.SI,"Alliance Healthcare Group Ltd is a Singapore-based company, which provides health care services. The Company, through its subsidiaries, designs and provides enterprise-level healthcare solutions. The Company has four segments: managed healthcare solutions, GP clinic services, specialist care services and pharmaceutical services. The Company also operates 17 self-owned GP clinics, with 16 clinics under the My Family Clinic name and one clinic under the Lee Clinic Pte. Ltd., and five self-owned specialist clinics providing services, including medical diagnosis and medical or surgical treatments of ENT, colorectal and orthopedic conditions. In addition, the Company operates a pharmaceutical business engaged in the wholesale distribution of pharmaceutical products to hospitals, pharmacies and clinics in Singapore and overseas.",Healthcare Facilities,NOT FOUND
28,ALLIED TECHNOLOGIES LIMITED,https://www.reuters.com/companies/ALLTbi.SI,"Allied Technologies Limited is engaged in the manufacturing of metal stamped parts, tools and dies, and provision of related design services, sub-assembly of mechanical components, plastic injection molding, manufacturing of plastic parts and assembly of consumer electronics. It has five segments: Singapore and Malaysia, China, Vietnam, Thailand and Others. It manufactures a range of metal and plastics parts, which are used as components for products in various industries. Its product categories include copier, printer, automotive, computer enclosure, data storage devices, solar energy related products, liquid crystal display related stamping, and others, which consist of product and services in switches and telecommunication systems. Its subsidiaries include Allied Machineries (Shanghai) Co., Ltd., Allied Technologies (Suzhou) Co., Ltd., Allied Technologies (Dongguan) Co., Ltd., Allied Technologies (Saigon) Co., Ltd. and Allied Precision (Thailand) Co., Ltd.",Misc. Fabricated Products,"{""Chee Choon Chin"": ""Non-Executive Independent Chairman of the Board"", ""Wee Kia Leow"": ""Chief Executive Officer, Executive Director"", ""Lizhen Ong"": ""Chief Financial Officer"", ""Siang Keng Tan"": ""Chief Operating Officer"", ""Lay Thiam Tan"": ""Deputy General Manager - Engineering/ Technical for China Region""}"
